PfDd2_01	26180	26737	ap2i_r2_gfp_peak_1	R2
PfDd2_01	34477	34807	ap2i_r2_gfp_peak_2	R2
PfDd2_01	35543	36799	ap2i_r2_gfp_peak_4a,ap2i_r2_gfp_peak_4b,ap2i_r2_gfp_peak_4c	R2
PfDd2_01	52361	52774	ap2i_r2_gfp_peak_8	R2
PfDd2_01	58248	58830	ap2i_r2_gfp_peak_10	R2
PfDd2_01	92204	92485	ap2i_r2_gfp_peak_14	R2
PfDd2_01	92576	92851	ap2i_r5_gfp_peak_1	R5
PfDd2_01	93154	93543	ap2i_r2_gfp_peak_15	R2
PfDd2_01	101484	101752	ap2i_r2_gfp_peak_16	R2
PfDd2_01	102009	102450	ap2i_r2_gfp_peak_17	R2
PfDd2_01	107208	107555	ap2i_r2_gfp_peak_19	R2
PfDd2_01	108440	109004	ap2i_r2_gfp_peak_20	R2
PfDd2_01	111617	111966	ap2i_r5_gfp_peak_2	R5
PfDd2_01	113920	114322	ap2i_r2_gfp_peak_21	R2
PfDd2_01	127711	127987	ap2i_r2_gfp_peak_22	R2
PfDd2_01	134248	134684	ap2i_r1_gfp_peak_1	R1
PfDd2_01	144082	144563	ap2i_r1_gfp_peak_2	R1
PfDd2_01	150812	151200	ap2i_r2_gfp_peak_24	R2
PfDd2_01	151976	152269	ap2i_r2_gfp_peak_25	R2
PfDd2_01	155249	155682	ap2i_r2_gfp_peak_26,ap2i_r5_gfp_peak_3	R2-R5
PfDd2_01	156453	157526	ap2i_r2_gfp_peak_27a,ap2i_r2_gfp_peak_27b	R2
PfDd2_01	160099	160752	ap2i_r2_gfp_peak_28a,ap2i_r2_gfp_peak_28b	R2
PfDd2_01	161011	161269	ap2i_r2_gfp_peak_29	R2
PfDd2_01	164914	165225	ap2i_r2_gfp_peak_30	R2
PfDd2_01	166836	167088	ap2i_r2_gfp_peak_31	R2
PfDd2_01	167207	167518	ap2i_r2_gfp_peak_32	R2
PfDd2_01	168429	169230	ap2i_r2_gfp_peak_33a,ap2i_r2_gfp_peak_33b	R2
PfDd2_01	170023	170346	ap2i_r2_gfp_peak_34	R2
